agency,link,img_src,alt_text
Department of Science and Technology (DST),http://www.dst.gov.in/call-for-proposals,img/dst-logo.png,DST
Science and Engineering Research Board (SERB),http://serbonline.in/SERB/HomePage.do,img/serb-logo.png,SERB
University Grants Commission (UGC),https://www.ugc.ac.in/ugc_schemes/,img/ugc-logo.png,UGC
All India Council for Technical Education (AICTE),https://www.aicte-india.org/schemes/research-innovations-development-schemes,img/aicte-logo.png,AICTE
The Council of Scientific & Industrial Research (CSIR),http://csirhrdg.res.in/resg/Res_grants.htm,img/csir-logo.png,CSIR
Defence Research and Development Organization (DRDO),https://www.drdo.gov.in/drdo/English/index.jsp?pg=thrustareas.jsp,img/drdo-logo.png,DRDO
Board of Research in Nuclear Sciences (BRNS),https://brns.res.in/,img/brns-logo.png,BRNS
Department of Biotechnology,http://www.dbtindia.nic.in/funding-mechanism/call/,img/dbt-logo.png,DBT
Ministry of Coal & Mines,http://www.scienceandtech.cmpdi.co.in/index.php,img/cmpdi-logo.png,CMPDI
Indian Council of Medical Research,http://www.icmr.nic.in/,img/icmr-logo.png,ICMR
Ministry of Earth Sciences - Extramural Support,http://www.moes.gov.in/content/brief-extramural-support,img/moes-logo.png,MOES
Department of Space Indian Space Research Organisation (ISRO) Sponsored Research (RESPOND),https://www.isro.gov.in/sponsored-research-respond,img/isro-logo.png,ISRO
Ministry of Electronics and Information Technology (MEIT),http://meity.gov.in/content/schemes-policies,img/meity-logo.png,MEITY
Ministry of New and Renewable Energy (MNRE),http://www.mnre.gov.in/schemes/r-d/rd-formats/,img/mnre-logo.png,MNRE
"Central Power Research Institute, Ministry of Power (CPRI, MoP)",http://www.cpri.in/r-a-d-schemes/research-scheme.html,img/cpri-logo.png,CPRI
Indian National Academy of Engineering (INAE),https://inae.in/mentoring-schemes-2/,img/inae-logo.png,INAE
Indo-US Science and Technology Forum (IUSSTF),http://www.iusstf.org/,img/iusstf-logo.png,IUSSTF
"Kerala State Council for Science, Technology and Environment (KSCSTE)",http://www.kscste.kerala.gov.in/index.php/programmes-initiatives/technology-development-%20transfer/engineering-technology-programmes,img/kscste-logo.png,KSCSTE
